"w_martin","top_alternative","top_score"
0.346,"PB1",0.554680010324842
0.348,"PB1",0.55466523333033
0.35,"PB1",0.554650369804269
0.352,"PB1",0.554635418984355
0.354,"PB1",0.554620380099306
0.356,"PB1",0.554605252368725
0.358,"PB1",0.554590035002967
0.36,"PB1",0.554574727203003
0.362,"PB1",0.554559328160278
0.364,"PB1",0.554543837056569
0.366,"PB1",0.55452825306384
0.368,"PB1",0.554512575344096
0.37,"PB1",0.554496803049232
0.372,"PB1",0.554480935320877
0.374,"PB1",0.554464971290245
0.376,"PB1",0.554448910077969
0.378,"PB1",0.554432750793945
0.38,"PB1",0.554416492537164
0.382,"PB1",0.554400134395547
0.384,"PB1",0.554383675445774
0.386,"PB1",0.554367114753109
0.388,"PB1",0.554350451371224
0.39,"PB1",0.554333684342018
0.392,"PB1",0.554316812695436
0.394,"PB1",0.554299835449276
0.396,"PB1",0.554282751609006
0.398,"PB1",0.554265560167565
0.4,"PB1",0.554248260105165
0.402,"PB1",0.55423085038909
0.404,"PB1",0.554213329973495
0.406,"PB1",0.554195697799187
0.408,"PB1",0.554177952793421
0.41,"PB1",0.554160093869677
0.412,"PB1",0.554142119927441
0.414,"PB1",0.554124029851976
0.416,"PB1",0.554105822514094
0.418,"PB1",0.554087496769921
0.42,"PB1",0.554069051460656
0.422,"PB1",0.554050485412328
0.424,"PB1",0.554031797435544
0.426,"PB1",0.554012986325241
0.428,"PB1",0.553994050860422
0.43,"PB1",0.553974989803892
0.432,"PB1",0.553955801901992
0.434,"PB1",0.553936485884319
0.436,"PB1",0.55391704046345
0.438,"PB1",0.553897464334656
0.44,"PB1",0.553877756175605
0.442,"PB1",0.553857914646072
0.444,"PB1",0.553837938387628
0.446,"PB1",0.553817826023333
0.448,"PB1",0.553797576157423
0.45,"PB1",0.553777187374979
0.452,"PB1",0.553756658241606
0.454,"PB1",0.55373598730309
0.456,"PB1",0.553715173085061
0.458,"PB1",0.553694214092634
0.46,"PB1",0.553673108810061
0.462,"PB1",0.553651855700356
0.464,"PB1",0.553630453204931
0.466,"PB1",0.553608899743205
0.468,"PB1",0.553587193712226
0.47,"PB1",0.553565333486263
0.472,"PB1",0.553543317416408
0.474,"PB1",0.553521143830158
0.476,"PB1",0.553498811030992
0.478,"PB1",0.553476317297935
0.48,"PB1",0.553453660885125
0.482,"PB1",0.55343084002135
