scenario,climate_year,tdm_model,seed_lo,seed_hi,seed_sd,median_spawners,p25,p75
PB3,2020,Bratovich et al. (2020),16132.26128002749,16845.2837192261,314.61475022691434,16447.970715146093,16391.527982938234,16501.26199310416
PB3,2020,Martin et al. (2017),10.876906201956334,13.272880850869772,1.0177579169053768,11.731604485702558,8.633541406895025,16.036954371611458
PB4,2011,Bartholow & Heasley (2006),9902.642870473988,10624.208035556536,310.16827224685767,10238.57905023113,10173.828573040182,10318.240794064439
PB4,2011,Bratovich et al. (2020),16838.44887589076,17543.382937845618,324.7288938261208,17157.170778357002,17110.26242256608,17222.57561538225
PB4,2011,Martin et al. (2017),18.81627473321898,24.040889201009648,2.2367934833819008,21.769750411649323,16.683757774571312,28.38481622634984
PB4,2014,Bartholow & Heasley (2006),1535.030830832571,1755.0023512499006,101.77859229415256,1645.5137299421906,1542.7583612758942,1742.555402362473
PB4,2014,Bratovich et al. (2020),13765.429683267343,14329.379111984494,260.1967071765153,14036.141602388705,13988.650334664702,14098.867621702493
PB4,2014,Martin et al. (2017),0,0,0,0,0,0
PB4,2017,Bartholow & Heasley (2006),3060.4197315421743,3415.903773065761,144.99120480860083,3275.5626975555674,3155.67398954384,3379.8203843924084
PB4,2017,Bratovich et al. (2020),14707.546139902954,15389.098355111993,284.2644847068957,15062.588898411725,15028.36629423333,15104.311668867409
PB4,2017,Martin et al. (2017),0,0,0,0,0,0.2635061614405763
PB4,2020,Bartholow & Heasley (2006),9589.203771582514,10141.01971428192,220.8383429665724,9904.146705206527,9839.661941125461,9964.238047072238
PB4,2020,Bratovich et al. (2020),16506.266861084223,17129.823824650623,262.96467158543163,16826.952499801013,16773.552808518478,16866.23654658749
PB4,2020,Martin et al. (2017),25.161394715379913,33.658801462299394,3.4688179135165074,29.77151206354487,22.960241763324277,37.77297845508377
PB5,2011,Bartholow & Heasley (2006),9981.499312999389,10711.369807826228,303.53220842280433,10294.561074449159,10225.31838593018,10346.471602288162
PB5,2011,Bratovich et al. (2020),16340.485110963025,17004.720511197746,296.12846341779056,16651.54507912124,16594.26596750732,16685.59091139694
PB5,2011,Martin et al. (2017),37.881201008904,51.90262103071582,5.756914466676464,43.54537495882417,34.57707693978481,54.170559750241154
PB5,2014,Bartholow & Heasley (2006),2022.0687435633367,2302.9675834426703,109.76055660061503,2113.0654134112765,2018.5591680568991,2213.6678863447582
PB5,2014,Bratovich et al. (2020),13335.974274040822,13880.066834973142,228.7666847926229,13586.662239403415,13513.776631670862,13650.7905898314
PB5,2014,Martin et al. (2017),0,0,0,0,0,0
PB5,2017,Bartholow & Heasley (2006),3062.9861711999783,3474.401930324605,174.48198949357095,3279.855491313433,3205.1671381327646,3390.6468251067067
PB5,2017,Bratovich et al. (2020),14209.55305969171,14703.906635661993,232.48042391013283,14447.87769071709,14406.284257034467,14504.980814453838
PB5,2017,Martin et al. (2017),0,0.5084908371325919,0.22740401555284995,0.10169816742651838,0,1.2696344507788198
PB5,2020,Bartholow & Heasley (2006),9835.31147816393,10385.126886761645,234.78302000078165,10066.914850942267,9993.002687718512,10138.339870225996
PB5,2020,Bratovich et al. (2020),15988.165720282046,16567.519811329457,253.7519332459578,16240.812155358411,16169.457954456495,16313.549975942318
PB5,2020,Martin et al. (2017),52.529488167392955,60.05768269200716,3.2406020962468713,56.27680961283841,44.60353138992822,69.13535057151951
PB6,2011,Bartholow & Heasley (2006),8837.348874133908,9263.341286174207,187.15886830707615,9058.064577904499,8995.80661981907,9114.358352004336
PB6,2011,Bratovich et al. (2020),16783.044057842064,17419.849861600356,280.90634454552804,17114.290121091235,17070.623966272797,17154.439211666275
PB6,2011,Martin et al. (2017),8.14680675207919,9.705605481073192,0.6596796099286419,8.747615936538212,6.2549096707464145,11.916614296830069
PB6,2014,Bartholow & Heasley (2006),470.9226255322312,553.6524859808248,32.95794560676876,510.691757360808,450.7398361144538,578.2110529178456
PB6,2014,Bratovich et al. (2020),13101.701876911386,13704.89835858392,238.6655542069998,13375.328216653257,13339.949643604157,13414.021437814272
PB6,2014,Martin et al. (2017),0,0,0,0,0,0
PB6,2017,Bartholow & Heasley (2006),2838.6793022618067,3161.724815119068,146.36154328815698,3004.822854098279,2919.530866345347,3101.1269667286547
PB6,2017,Bratovich et al. (2020),15155.155713998347,15782.866342685402,302.83950966732783,15437.536836675496,15389.363593232772,15480.672380816864
PB6,2017,Martin et al. (2017),0,0,0,0,0,0
PB6,2020,Bartholow & Heasley (2006),7278.137196613315,7905.231740526049,274.58076965269595,7599.5379745196105,7535.201477096367,7650.034609812857
PB6,2020,Bratovich et al. (2020),16372.15855170944,17099.3416145288,300.5470333619575,16718.195792591636,16684.821853980837,16761.96191970991
PB6,2020,Martin et al. (2017),5.399411980758471,7.253482980793672,0.8966398426401808,6.101788333638044,4.364096387485945,8.530388942991937
